,Country,Code,Year,Population (historical estimates),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes",Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,headcount_ratio_upper_mid_income_povline,headcount_ratio_1000
3810,Latvia,LVA,1995,2570150.0,19.7,0.27628726,4.284734,3.7648618,0.5211202,0.12952754,21.78985587238752,66.09299357558918
3811,Latvia,LVA,1995,2570150.0,19.7,0.27628726,4.284734,3.7648618,0.5211202,0.12952754,29.08098052743021,58.76137800143611
3812,Latvia,LVA,1996,2534288.0,19.9,0.27634907,4.262384,3.7647672,0.52112114,0.12835053,23.20428061654171,68.79118431359903
3813,Latvia,LVA,1996,2534288.0,19.9,0.27634907,4.262384,3.7647672,0.52112114,0.12835053,30.705879296891,61.429022914142365
3814,Latvia,LVA,1997,2498881.0,20.2,0.27661198,4.23186,3.7637591,0.5210994,0.12703234,29.63699136963355,68.46780566122672
3815,Latvia,LVA,1997,2498881.0,20.2,0.27661198,4.23186,3.7637591,0.5210994,0.12703234,37.77735702514147,62.76187182543745
3816,Latvia,LVA,1998,2462333.0,20.4,0.27697513,4.199876,3.7623591,0.52106816,0.1265273,26.19115516965752,68.23260027419072
3817,Latvia,LVA,1998,2462333.0,20.4,0.27697513,4.199876,3.7623591,0.52106816,0.1265273,34.51273016759866,61.89091472798118
3821,Latvia,LVA,2002,2326150.0,21.2,0.27827093,4.0803337,3.7557306,0.52095944,0.12852554,15.03512804790871,48.69781237312022
3822,Latvia,LVA,2002,2326150.0,21.2,0.27827093,4.0803337,3.7557306,0.52095944,0.12852554,20.34259430028077,42.74268924240312
3823,Latvia,LVA,2003,2294342.0,21.5,0.27875435,4.0363355,3.7531068,0.52091986,0.13171314,11.14723546275935,41.88217784817463
3824,Latvia,LVA,2003,2294342.0,21.5,0.27875435,4.0363355,3.7531068,0.52091986,0.13171314,15.33950590994838,36.52882330700606
3825,Latvia,LVA,2004,2263453.0,21.7,0.2792453,3.9937322,3.751018,0.5208801,0.13486812,11.7408700542226,39.2548611358003
3826,Latvia,LVA,2004,2263453.0,21.7,0.2792453,3.9937322,3.751018,0.5208801,0.13486812,15.19647837243734,49.79317209586658
3827,Latvia,LVA,2004,2263453.0,21.7,0.2792453,3.9937322,3.751018,0.5208801,0.13486812,15.610405808224751,33.06576877550668
3828,Latvia,LVA,2004,2263453.0,21.7,0.2792453,3.9937322,3.751018,0.5208801,0.13486812,19.280393547286508,40.95673339551294
3829,Latvia,LVA,2005,2233165.0,22.0,0.279676,3.958981,3.7504952,0.5208483,0.13753831,13.990389956826627,43.295959617883
3830,Latvia,LVA,2005,2233165.0,22.0,0.279676,3.958981,3.7504952,0.5208483,0.13753831,17.26263014535639,37.41175047962359
3831,Latvia,LVA,2006,2203917.0,22.3,0.28017974,3.9224555,3.75344,0.5208261,0.14021789,7.71426239117867,28.7033514806492
3832,Latvia,LVA,2006,2203917.0,22.3,0.28017974,3.9224555,3.75344,0.5208261,0.14021789,9.384600905870313,22.95927993341269
3833,Latvia,LVA,2007,2176059.0,22.6,0.28085634,3.8739426,3.7599537,0.52080643,0.14279383,4.723003324802811,21.43319152819742
3834,Latvia,LVA,2007,2176059.0,22.6,0.28085634,3.8739426,3.7599537,0.52080643,0.14279383,4.8738725983317,18.24503660319924
3835,Latvia,LVA,2007,2176059.0,22.6,0.28085634,3.8739426,3.7599537,0.52080643,0.14279383,6.75333808973513,17.18513674724825
3836,Latvia,LVA,2007,2176059.0,22.6,0.28085634,3.8739426,3.7599537,0.52080643,0.14279383,6.1405960699541495,14.46029567768466
3837,Latvia,LVA,2008,2150411.0,22.9,0.2815899,3.8246107,3.7674346,0.52077734,0.14568886,4.3107607519377,22.41792066359412
3838,Latvia,LVA,2008,2150411.0,22.9,0.2815899,3.8246107,3.7674346,0.52077734,0.14568886,6.1009932712056,18.91387171792238
3839,Latvia,LVA,2008,2150411.0,22.9,0.2815899,3.8246107,3.7674346,0.52077734,0.14568886,6.965258934156569,17.88644865185339
3840,Latvia,LVA,2008,2150411.0,22.9,0.2815899,3.8246107,3.7674346,0.52077734,0.14568886,7.873639113413939,15.99908182236281
3841,Latvia,LVA,2009,2126268.0,23.2,0.28226176,3.7829046,3.773678,0.520741,0.14849839,7.640280683843679,31.69089314361398
3842,Latvia,LVA,2009,2126268.0,23.2,0.28226176,3.7829046,3.773678,0.520741,0.14849839,9.48844944223782,24.96188041503576
3843,Latvia,LVA,2009,2126268.0,23.2,0.28226176,3.7829046,3.773678,0.520741,0.14849839,11.36524411203693,26.553305374188003
3844,Latvia,LVA,2009,2126268.0,23.2,0.28226176,3.7829046,3.773678,0.520741,0.14849839,11.71892332300337,21.7691502784361
3845,Latvia,LVA,2010,2101537.0,23.5,0.28275493,3.7593977,3.7766035,0.52068955,0.1505163,9.45482173312761,27.999175368306
3846,Latvia,LVA,2010,2101537.0,23.5,0.28275493,3.7593977,3.7766035,0.52068955,0.1505163,11.86003287708201,24.19357918889206
3847,Latvia,LVA,2011,2076974.0,23.8,0.28316277,3.748776,3.7771666,0.5206279,0.15246893,8.651907836052029,27.11979570610305
3848,Latvia,LVA,2011,2076974.0,23.8,0.28316277,3.748776,3.7771666,0.5206279,0.15246893,11.23104426308925,23.32354207142404
3849,Latvia,LVA,2012,2053635.0,24.2,0.28362972,3.7395191,3.7776363,0.520561,0.15397505,7.446951077792111,25.63987279798911
3850,Latvia,LVA,2012,2053635.0,24.2,0.28362972,3.7395191,3.7776363,0.520561,0.15397505,10.39763895862324,21.59272797795613
3851,Latvia,LVA,2013,2031491.0,24.5,0.28410932,3.7318187,3.7775548,0.5204907,0.15596409,5.95999975087266,19.86495818048407
3852,Latvia,LVA,2013,2031491.0,24.5,0.28410932,3.7318187,3.7775548,0.5204907,0.15596409,8.085174977624881,17.41217059518497
3853,Latvia,LVA,2014,2011040.0,24.9,0.28455362,3.725428,3.7768476,0.52042586,0.15765508,5.50612512016321,16.71216292479679
3854,Latvia,LVA,2014,2011040.0,24.9,0.28455362,3.725428,3.7768476,0.52042586,0.15765508,7.123995113829321,14.32919850925648
3855,Latvia,LVA,2015,1991951.0,25.3,0.28491953,3.7204535,3.7754884,0.52036035,0.15891068,3.89843068711354,12.90901039034576
3856,Latvia,LVA,2015,1991951.0,25.3,0.28491953,3.7204535,3.7754884,0.52036035,0.15891068,4.874992834499111,10.68441038434261
3857,Latvia,LVA,2016,1973477.0,25.7,0.2854343,3.7217278,3.7666385,0.52029896,0.1608688,3.55939261550361,12.06716866851068
3858,Latvia,LVA,2016,1973477.0,25.7,0.2854343,3.7217278,3.7666385,0.52029896,0.1608688,4.593846853892581,9.993233105260073
3880,Lebanon,LBN,2011,5045061.0,28.3,0.25272995,5.0126934,6.5832686,0.9423972,0.2195352,1.68231380752694,9.4050310181876
3881,Lebanon,LBN,2011,5045061.0,28.3,0.25272995,5.0126934,6.5832686,0.9423972,0.2195352,1.68231380752694,5.14502386617919
3891,Lesotho,LSO,1994,1910648.0,6.5,0.1972692,5.111545,3.5013816,0.53210783,0.087096,78.14257425742575,89.38613861386139
3892,Lesotho,LSO,1994,1910648.0,6.5,0.1972692,5.111545,3.5013816,0.53210783,0.087096,82.85940594059406,89.33465346534653
3900,Lesotho,LSO,2002,1997537.0,9.0,0.19981469,5.2941732,3.5148625,0.532109,0.09179024,92.2690366267507,98.02705436347604
3901,Lesotho,LSO,2002,1997537.0,9.0,0.19981469,5.2941732,3.5148625,0.532109,0.09179024,95.1088075588571,97.98659257716076
3933,Liberia,LBR,2007,3632748.0,6.0,0.20528153,4.8437004,3.4309409,0.54334015,0.06961992,97.76317588990936,99.62482620731495
3934,Liberia,LBR,2007,3632748.0,6.0,0.20528153,4.8437004,3.4309409,0.54334015,0.06961992,96.46912861281244,98.80699251593326
3941,Liberia,LBR,2014,4519410.0,8.0,0.20571432,4.8421474,3.4801712,0.54335666,0.074216776,94.07656775797744,99.06222914006436
3942,Liberia,LBR,2014,4519410.0,8.0,0.20571432,4.8421474,3.4801712,0.54335666,0.074216776,90.33239397548942,96.65423478129011
3944,Liberia,LBR,2016,4706106.0,8.6,0.20602597,4.845447,3.501115,0.54335135,0.07568333,93.16640210209194,99.09945008686864
3945,Liberia,LBR,2016,4706106.0,8.6,0.20602597,4.845447,3.501115,0.54335135,0.07568333,88.9197405068334,96.25437054330648
3976,Lithuania,LTU,1993,3788532.0,20.9,0.2785139,4.2770348,4.2763233,0.5219124,0.13555187,70.41492210843934,93.58977314063128
3977,Lithuania,LTU,1993,3788532.0,20.9,0.2785139,4.2770348,4.2763233,0.5219124,0.13555187,76.40601606168059,91.1300318704767
3980,Lithuania,LTU,1996,3722023.0,21.8,0.277814,4.3099155,4.2947025,0.5219823,0.13098246,21.46284135706557,61.57308718261585
3981,Lithuania,LTU,1996,3722023.0,21.8,0.277814,4.3099155,4.2947025,0.5219823,0.13098246,26.36764688614599,52.16823391423638
3983,Lithuania,LTU,1998,3665514.0,22.5,0.27814296,4.357567,4.362749,0.52196103,0.12892629,18.06517052298564,57.01406822453706
3984,Lithuania,LTU,1998,3665514.0,22.5,0.27814296,4.357567,4.362749,0.52196103,0.12892629,22.96710518871453,48.0284238222968
3985,Lithuania,LTU,1999,3633949.0,22.8,0.27836394,4.3759794,4.3936086,0.52193815,0.12810291,18.11081936674963,57.40732151717908
3986,Lithuania,LTU,1999,3633949.0,22.8,0.27836394,4.3759794,4.3936086,0.52193815,0.12810291,22.69305357313353,48.58537519273883
3987,Lithuania,LTU,2000,3599639.0,23.0,0.27854154,4.382294,4.4068255,0.5219108,0.12771684,21.62274048934421,60.975309537448574
3988,Lithuania,LTU,2000,3599639.0,23.0,0.27854154,4.382294,4.4068255,0.5219108,0.12771684,26.70113738101644,52.41771043664856
3989,Lithuania,LTU,2001,3560145.0,23.3,0.27882904,4.3707905,4.407003,0.5218792,0.12874645,22.31971392471727,61.966549145567896
3990,Lithuania,LTU,2001,3560145.0,23.3,0.27882904,4.3707905,4.407003,0.5218792,0.12874645,27.00044802017072,53.2755601366635
3991,Lithuania,LTU,2002,3515799.0,23.6,0.27933997,4.34188,4.4067507,0.5218408,0.13103618,22.07601858299838,61.89853319120756
3992,Lithuania,LTU,2002,3515799.0,23.6,0.27933997,4.34188,4.4067507,0.5218408,0.13103618,27.19316368981832,53.08305809768103
3993,Lithuania,LTU,2003,3469683.0,23.8,0.27995372,4.3060923,4.4060736,0.5217998,0.1340205,12.09976417490828,43.57591931636866
3994,Lithuania,LTU,2003,3469683.0,23.8,0.27995372,4.3060923,4.4060736,0.5217998,0.1340205,15.52775574311917,35.43526959331632
3995,Lithuania,LTU,2004,3422593.0,24.1,0.28054768,4.270716,4.4051695,0.52176094,0.13711841,11.19724028196588,40.56629464395855
3996,Lithuania,LTU,2004,3422593.0,24.1,0.28054768,4.270716,4.4051695,0.52176094,0.13711841,18.67833434595421,48.43004396487866
3997,Lithuania,LTU,2004,3422593.0,24.1,0.28054768,4.270716,4.4051695,0.52176094,0.13711841,14.453659045636542,32.35632787243254
3998,Lithuania,LTU,2004,3422593.0,24.1,0.28054768,4.270716,4.4051695,0.52176094,0.13711841,21.60982149221893,39.81318688691825
3999,Lithuania,LTU,2005,3373536.0,24.4,0.2809983,4.244599,4.404439,0.52173275,0.14002788,12.0745081472711,35.7663907480634
4000,Lithuania,LTU,2005,3373536.0,24.4,0.2809983,4.244599,4.404439,0.52173275,0.14002788,14.94151494666823,28.304290502601
4001,Lithuania,LTU,2006,3322937.0,24.6,0.2813622,4.2192597,4.4034615,0.521712,0.142414,7.080952665000511,22.3480810853773
4002,Lithuania,LTU,2006,3322937.0,24.6,0.2813622,4.2192597,4.4034615,0.521712,0.142414,8.66957661222332,17.00191522433638
4003,Lithuania,LTU,2007,3272416.0,24.9,0.2817654,4.1912293,4.402308,0.52169716,0.14491266,4.291661562730241,16.165035698410062
4004,Lithuania,LTU,2007,3272416.0,24.9,0.2817654,4.1912293,4.402308,0.52169716,0.14491266,6.08160909246662,13.47293446527913
4005,Lithuania,LTU,2008,3224384.0,25.2,0.2821896,4.163176,4.400909,0.52168334,0.14785065,5.80435593751008,27.927872250350266
4006,Lithuania,LTU,2008,3224384.0,25.2,0.2821896,4.163176,4.400909,0.52168334,0.14785065,4.54542235317588,15.06601179097986
4007,Lithuania,LTU,2008,3224384.0,25.2,0.2821896,4.163176,4.400909,0.52168334,0.14785065,7.634930134120039,21.47842430006757
4008,Lithuania,LTU,2008,3224384.0,25.2,0.2821896,4.163176,4.400909,0.52168334,0.14785065,5.285955884125871,12.00792031769857
4009,Lithuania,LTU,2009,3180482.0,25.6,0.2826187,4.136793,4.399466,0.52166003,0.15004717,8.85498989081186,25.25153432254104
4010,Lithuania,LTU,2009,3180482.0,25.6,0.2826187,4.136793,4.399466,0.52166003,0.15004717,10.21268364844162,20.62610941772509
4011,Lithuania,LTU,2010,3139021.0,25.9,0.28303212,4.1161327,4.3986974,0.5216339,0.1523658,8.200160672245339,26.7268768445443
4012,Lithuania,LTU,2010,3139021.0,25.9,0.28303212,4.1161327,4.3986974,0.5216339,0.1523658,10.41658479432663,21.83173241425413
4013,Lithuania,LTU,2011,3099800.0,26.3,0.2836198,4.097671,4.3893685,0.52160174,0.15512528,5.25846612263241,21.28658566604521
4014,Lithuania,LTU,2011,3099800.0,26.3,0.2836198,4.097671,4.3893685,0.52160174,0.15512528,7.00543546198531,16.69707038341389
4015,Lithuania,LTU,2012,3063340.0,26.7,0.28447652,4.073483,4.3674273,0.52156067,0.15736163,5.47072598166676,20.7895869099915
4016,Lithuania,LTU,2012,3063340.0,26.7,0.28447652,4.073483,4.3674273,0.52156067,0.15736163,6.97753431203042,16.58927686011328
4017,Lithuania,LTU,2013,3028191.0,27.1,0.28543663,4.04753,4.34052,0.5215126,0.15999764,4.894838685454659,18.92403778213097
4018,Lithuania,LTU,2013,3028191.0,27.1,0.28543663,4.04753,4.34052,0.5215126,0.15999764,5.77369656805613,14.766161717027307
4019,Lithuania,LTU,2014,2994928.0,27.5,0.2863374,4.026949,4.3166423,0.52145857,0.16214956,4.84611656150214,17.53835644481618
4020,Lithuania,LTU,2014,2994928.0,27.5,0.2863374,4.026949,4.3166423,0.52145857,0.16214956,6.311819241795879,14.19944981018897
4021,Lithuania,LTU,2015,2963764.0,27.9,0.2870162,4.012482,4.3036847,0.52140284,0.16478589,4.20377206186889,14.650836462268993
4022,Lithuania,LTU,2015,2963764.0,27.9,0.2870162,4.012482,4.3036847,0.52140284,0.16478589,4.75798296373035,12.21875947692915
4023,Lithuania,LTU,2016,2933676.0,28.4,0.28790364,4.0095606,4.283735,0.52134776,0.16749556,4.51023009269983,13.38912980569502
4024,Lithuania,LTU,2016,2933676.0,28.4,0.28790364,4.0095606,4.283735,0.52134776,0.16749556,4.8529721653606,10.05780037485625
4026,Luxembourg,LUX,1991,386405.0,13.2,0.27881005,3.8173668,5.3231664,0.89736336,0.44824496,0.0,0.0
4027,Luxembourg,LUX,1991,386405.0,13.2,0.27881005,3.8173668,5.3231664,0.89736336,0.44824496,0.0,0.0
4030,Luxembourg,LUX,1994,402049.0,14.4,0.27874544,3.7634497,5.334695,0.8973408,0.4680975,0.0,0.21058631569712
4031,Luxembourg,LUX,1994,402049.0,14.4,0.27874544,3.7634497,5.334695,0.8973408,0.4680975,0.0,0.21058631569712
4034,Luxembourg,LUX,1997,418413.0,15.6,0.27900323,3.7008712,5.3494477,0.897455,0.4854611,0.16424324973169,0.42599491852693
4035,Luxembourg,LUX,1997,418413.0,15.6,0.27900323,3.7008712,5.3494477,0.897455,0.4854611,0.16424324973169,0.16424324973169
4038,Luxembourg,LUX,2000,435634.0,17.0,0.2794592,3.6138225,5.368072,0.89756346,0.5011979,0.0,0.0
4039,Luxembourg,LUX,2000,435634.0,17.0,0.2794592,3.6138225,5.368072,0.89756346,0.5011979,0.0,0.0
4042,Luxembourg,LUX,2003,451351.0,18.4,0.27967557,3.497702,5.36274,0.89754826,0.5201227,0.48119943249397,0.6148850276301301
4043,Luxembourg,LUX,2003,451351.0,18.4,0.27967557,3.497702,5.36274,0.89754826,0.5201227,0.5125836505757599,0.61109608044843
4044,Luxembourg,LUX,2004,457798.0,18.8,0.279773,3.4582348,5.358347,0.8974474,0.5255238,0.0589690720757131,0.33682998207502
4045,Luxembourg,LUX,2004,457798.0,18.8,0.279773,3.4582348,5.358347,0.8974474,0.5255238,0.0659569506427217,0.2742182194901
4046,Luxembourg,LUX,2005,464868.0,19.3,0.2798686,3.423667,5.354965,0.89731413,0.52993685,0.11714064732743,0.38002225989376
4047,Luxembourg,LUX,2005,464868.0,19.3,0.2798686,3.423667,5.354965,0.89731413,0.52993685,0.14333158975055,0.22479672587518
4048,Luxembourg,LUX,2006,472402.0,19.8,0.2800365,3.3892338,5.3505,0.8973172,0.5335204,0.0279839203595251,0.25530741288985
4049,Luxembourg,LUX,2006,472402.0,19.8,0.2800365,3.3892338,5.3505,0.8973172,0.5335204,0.0438833577534415,0.16192198580322
4050,Luxembourg,LUX,2007,479877.0,20.2,0.28032798,3.3447187,5.341905,0.89737165,0.5369901,0.0275175421328261,0.1110922136858
4051,Luxembourg,LUX,2007,479877.0,20.2,0.28032798,3.3447187,5.341905,0.89737165,0.5369901,0.0275175421328261,0.0641159808897443
4052,Luxembourg,LUX,2008,488643.0,20.6,0.28066516,3.300281,5.331026,0.89736843,0.5408367,0.0,0.35475707839489
4053,Luxembourg,LUX,2008,488643.0,20.6,0.28066516,3.300281,5.331026,0.89736843,0.5408367,0.11213845307149,0.35137723525711
4054,Luxembourg,LUX,2009,497876.0,21.1,0.2809533,3.2632885,5.3204775,0.8972925,0.5445319,0.21799899815051,0.3936654594931
4055,Luxembourg,LUX,2009,497876.0,21.1,0.2809533,3.2632885,5.3204775,0.8972925,0.5445319,0.22408410711752,0.31614280576038
4056,Luxembourg,LUX,2010,507075.0,21.5,0.2811092,3.2427266,5.3144484,0.89718467,0.5471647,0.0833265124705366,0.32111028512526
4057,Luxembourg,LUX,2010,507075.0,21.5,0.2811092,3.2427266,5.3144484,0.89718467,0.5471647,0.25549208129051,0.30083293888468
4058,Luxembourg,LUX,2011,518207.0,21.9,0.28109607,3.2346246,5.3125076,0.8969854,0.5495831,0.1525417466176,0.37584407751501
4059,Luxembourg,LUX,2011,518207.0,21.9,0.28109607,3.2346246,5.3125076,0.8969854,0.5495831,0.2097059719058299,0.23369559721229
4060,Luxembourg,LUX,2012,530596.0,22.4,0.2809691,3.226385,5.3124857,0.8967775,0.55233777,0.33280018168387,0.39362154495252
4061,Luxembourg,LUX,2012,530596.0,22.4,0.2809691,3.226385,5.3124857,0.8967775,0.55233777,0.33280018168387,0.36593720220278
4062,Luxembourg,LUX,2013,543068.0,22.8,0.2808299,3.2193387,5.313485,0.896586,0.5543539,0.25445467115275,0.28977868490698
4063,Luxembourg,LUX,2013,543068.0,22.8,0.2808299,3.2193387,5.313485,0.896586,0.5543539,0.25445467115275,0.28977868490698
4064,Luxembourg,LUX,2014,556075.0,23.3,0.28070474,3.213686,5.3140073,0.8964564,0.55658114,0.25287779089934,0.3954062374154
4065,Luxembourg,LUX,2014,556075.0,23.3,0.28070474,3.213686,5.3140073,0.8964564,0.55658114,0.28609378567216,0.36888818938661
4066,Luxembourg,LUX,2015,569415.0,23.7,0.2806614,3.212435,5.3122964,0.8963835,0.5586582,0.6577697584808601,0.91580356034405
4067,Luxembourg,LUX,2015,569415.0,23.7,0.2806614,3.212435,5.3122964,0.8963835,0.5586582,0.67465622880593,0.91580356034405
4068,Luxembourg,LUX,2016,583355.0,24.2,0.28114262,3.2098074,5.2900987,0.8962699,0.56215495,0.29612113432849,1.11664905178297
4069,Luxembourg,LUX,2016,583355.0,24.2,0.28114262,3.2098074,5.2900987,0.8962699,0.56215495,0.48788386683152,1.03683345794522
4073,Madagascar,MDG,1993,13020110.0,1.3,0.21252473,4.847176,3.82274,0.5974474,0.08694806,96.54845405421892,99.05689132985285
4074,Madagascar,MDG,1993,13020110.0,1.3,0.21252473,4.847176,3.82274,0.5974474,0.08694806,97.48364347258064,98.86753068314394
4078,Madagascar,MDG,1997,14778913.0,1.6,0.21216618,4.8222136,3.8296409,0.5974447,0.08484738,96.84928099212794,99.3802739310728
4079,Madagascar,MDG,1997,14778913.0,1.6,0.21216618,4.8222136,3.8296409,0.5974447,0.08484738,97.98382589867504,99.2706481230534
4081,Madagascar,MDG,1999,15730885.0,1.8,0.21208856,4.803259,3.8350132,0.59744096,0.0839854,96.54463885929154,99.4893178535684
4082,Madagascar,MDG,1999,15730885.0,1.8,0.21208856,4.803259,3.8350132,0.59744096,0.0839854,97.76127161194115,99.39720970263272
4084,Madagascar,MDG,2001,16709664.0,2.0,0.21224418,4.7904916,3.8394876,0.59743553,0.083832845,94.32561100548682,98.4635511959501
4085,Madagascar,MDG,2001,16709664.0,2.0,0.21224418,4.7904916,3.8394876,0.59743553,0.083832845,95.93287669685272,98.28348035097858
4089,Madagascar,MDG,2005,18792174.0,2.5,0.21324223,4.755382,3.8546543,0.5974212,0.08336993,97.04002871053308,99.15984057656736
4090,Madagascar,MDG,2005,18792174.0,2.5,0.21324223,4.755382,3.8546543,0.5974212,0.08336993,97.98065530723112,99.07885922817415
4095,Madagascar,MDG,2010,21731052.0,3.2,0.21179509,4.7337127,3.870147,0.59740096,0.0823218,97.5053236315442,99.28803443125044
4096,Madagascar,MDG,2010,21731052.0,3.2,0.21179509,4.7337127,3.870147,0.59740096,0.0823218,98.05334223448652,99.23256276191712
4098,Madagascar,MDG,2012,22966242.0,3.6,0.21178715,4.72732,3.89215,0.5973938,0.083343446,97.48493386588504,99.54703036030016
4099,Madagascar,MDG,2012,22966242.0,3.6,0.21178715,4.72732,3.89215,0.5973938,0.083343446,98.17711791278664,99.41110026693694
4111,Malawi,MWI,1997,10512681.0,1.9,0.19952556,4.2759886,3.7128522,0.5774111,0.07327617,93.4993009130906,97.7046134497576
4112,Malawi,MWI,1997,10512681.0,1.9,0.19952556,4.2759886,3.7128522,0.5774111,0.07327617,93.78604976567549,96.85877351219273
4119,Malawi,MWI,2004,12411343.0,2.7,0.2013665,4.1923923,3.7265174,0.57743,0.073578745,96.96511824875992,98.94431346462618
4120,Malawi,MWI,2004,12411343.0,2.7,0.2013665,4.1923923,3.7265174,0.57743,0.073578745,97.18174479838666,98.58962099674144
4126,Malawi,MWI,2010,14718426.0,3.6,0.20119998,4.0452785,3.7555363,0.5774415,0.07531103,96.0998656294518,98.65396718918564
4127,Malawi,MWI,2010,14718426.0,3.6,0.20119998,4.0452785,3.7555363,0.5774415,0.07531103,96.20036852889504,98.06629031106604
4133,Malawi,MWI,2016,17405624.0,4.7,0.20091692,4.096799,3.839767,0.57739866,0.0787787,96.57030619959473,99.11917908483736
4134,Malawi,MWI,2016,17405624.0,4.7,0.20091692,4.096799,3.839767,0.57739866,0.0787787,96.8470617407146,98.57884717429516
4137,Malaysia,MYS,1992,18526708.0,3.9,0.30116302,3.2789493,4.438454,0.33977947,0.11384484,30.29499805549476,57.6911944452219
4138,Malaysia,MYS,1992,18526708.0,3.9,0.30116302,3.2789493,4.438454,0.33977947,0.11384484,37.06024339416761,54.73844196563752
4141,Malaysia,MYS,1995,20136886.0,4.8,0.3033831,3.258121,4.448644,0.33969653,0.11758228,29.42593675440353,56.35506230907886
4142,Malaysia,MYS,1995,20136886.0,4.8,0.3033831,3.258121,4.448644,0.33969653,0.11758228,35.99470983342664,53.40778908125561
4144,Malaysia,MYS,1997,21249178.0,5.5,0.3045705,3.18664,4.4833097,0.3396548,0.12074093,21.87882388172621,46.56879833416005
4145,Malaysia,MYS,1997,21249178.0,5.5,0.3045705,3.18664,4.4833097,0.3396548,0.12074093,27.605461570774807,43.6812512713695
4151,Malaysia,MYS,2003,24739420.0,8.0,0.3079072,3.3211672,4.5453877,0.33961773,0.12746042,21.7841010084571,47.88542192392226
4152,Malaysia,MYS,2003,24739420.0,8.0,0.3079072,3.3211672,4.5453877,0.33961773,0.12746042,27.81599405596264,44.79688165246849
4155,Malaysia,MYS,2006,26509416.0,9.5,0.3086782,3.4540431,4.5533485,0.33958212,0.13030624,16.52737479634134,42.24595136684046
4156,Malaysia,MYS,2006,26509416.0,9.5,0.3086782,3.4540431,4.5533485,0.33958212,0.13030624,22.3792733069155,39.18115622098618
4158,Malaysia,MYS,2008,27664304.0,10.5,0.30841702,3.4369297,4.571566,0.33957645,0.13272792,16.72049631073176,40.98367968321603
4159,Malaysia,MYS,2008,27664304.0,10.5,0.30841702,3.4369297,4.571566,0.33957645,0.13272792,22.07988412934336,38.15678298123923
4162,Malaysia,MYS,2011,29184140.0,12.1,0.30902126,3.445935,4.5965233,0.33951622,0.13652377,8.61217039738753,29.72083438907059
4163,Malaysia,MYS,2011,29184140.0,12.1,0.30902126,3.445935,4.5965233,0.33951622,0.13652377,12.89873336058853,26.90691061504738
4165,Malaysia,MYS,2013,30134806.0,13.4,0.3119112,3.5536094,4.59333,0.33949485,0.13950633,3.97659244514875,19.66127072471798
4166,Malaysia,MYS,2013,30134806.0,13.4,0.3119112,3.5536094,4.59333,0.33949485,0.13950633,6.552249987475959,17.22848913602775
4168,Malaysia,MYS,2015,31068834.0,14.7,0.31398985,3.6310363,4.5922904,0.33945796,0.14274836,2.87615891615275,15.864077127127342
4169,Malaysia,MYS,2015,31068834.0,14.7,0.31398985,3.6310363,4.5922904,0.33945796,0.14274836,4.81830496233511,13.63303530087887
4183,Maldives,MDV,2002,292293.0,2.9,0.29910642,3.3180187,3.6482105,0.34051153,0.104365446,62.74320321083093,89.28852891334006
4184,Maldives,MDV,2002,292293.0,2.9,0.29910642,3.3180187,3.6482105,0.34051153,0.104365446,71.33337227276863,86.2365778471213
4191,Maldives,MDV,2009,349040.0,4.7,0.30271712,3.080076,3.6372883,0.3400203,0.11368861,42.69493906799701,78.45142974156786
4192,Maldives,MDV,2009,349040.0,4.7,0.30271712,3.080076,3.6372883,0.3400203,0.11368861,50.49754750230827,73.30237151417343
4199,Maldives,MDV,2016,454263.0,7.9,0.31015185,2.9383829,3.5991414,0.3389611,0.11916175,3.42995631072888,22.37106348915616
4200,Maldives,MDV,2016,454263.0,7.9,0.31015185,2.9383829,3.5991414,0.3389611,0.11916175,5.4805586714747,16.72518775214823
4205,Mali,MLI,1994,9711802.0,2.3,0.2088623,3.5966322,2.6295738,0.5418625,0.08002693,97.72032439216696,99.4426018150514
4206,Mali,MLI,1994,9711802.0,2.3,0.2088623,3.5966322,2.6295738,0.5418625,0.08002693,98.01686173507971,99.139992678649
4213,Mali,MLI,2001,11583825.0,3.3,0.20893668,3.495658,2.637361,0.541949,0.08161441,95.07951565793336,99.05576674763776
4214,Mali,MLI,2001,11583825.0,3.3,0.20893668,3.495658,2.637361,0.541949,0.08161441,95.60495714302964,98.43400315137004
4219,Mali,MLI,2006,13623541.0,4.3,0.20990567,3.451363,2.6430106,0.54199225,0.08601027,92.4819375782318,98.45397977294532
4220,Mali,MLI,2006,13623541.0,4.3,0.20990567,3.451363,2.6430106,0.54199225,0.08601027,93.7402141755,97.60057225610068
4223,Mali,MLI,2009,15032645.0,5.0,0.20919889,3.4323275,2.6401584,0.54200107,0.0877944,95.035925911028,99.55151253920016
4224,Mali,MLI,2009,15032645.0,5.0,0.20919889,3.4323275,2.6401584,0.54200107,0.0877944,95.939977310862,98.94964095802038
4248,Malta,MLT,2006,411204.0,27.0,0.27552626,3.039142,6.290441,0.91330427,0.3716849,0.75669581809328,3.0386794849959
